Question,Answer Type,Order,Section,Section Name,Descriptions
"Personal data is any information relating to an identified or identifiable person (name, location, online identifier, etc.--see GDPR Article 4). Does your organization collect user's personal data?",1,1,1,Data Collection/Processing,
"Data processing is considered any operation on data (i.e. collection, recording, storage, retrieval, etc.--see GDPR Article 4), automated or not, regardless of who/what originally obtainted the data from the user (i.e. a company you contract with collected it and transmitted it to you for some purpose). Do you process personal data? (*If you collect, you process!)",1,2,1,Data Collection/Processing,
Did the personal data that you collect/process originate from an individual in the European Union?,1,3,1,Data Collection/Processing,
"In order to process data, you must have a lawful basis for processing. Do you have a lawful basis for your data processing? ",1,4,2,Lawful Basis for Processing Data,"As per GDPR Article 6, a lawful basis is any one of the following: the user that the data came from gave consent; the data processing is necessary as part of your role in a contract with the user that supplied the data; the processing is necessary for compliance with a legal obligation; the processing is necessary in order to protect the vital interests of the user or another person; the processing is necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the data controller; the processing is necessary for the purposes of the legitimate interests pursued by the data controller or by a third party."
"When processing personal data, do you have a specified purpose for doing so? ",1,5,3,Data Processing Requirements,E.g. A specified purpose would be comparable to collecting a user's address to ship them a product and that is exactly what the data is being used for. 
"Is your ""specified purpose"" one that would be considered legitimate in relation to your service/product? ",1,6,3,Data Processing Requirements,"E.g. if you're selling t-shirt online, requesting a user's address to send them their t-shirt would be considered a legitimate relation."
Was the user that the data was collected from informed that you were collected their data?,1,7,4,Data Processing Requirements: Informing Users,
Was the user that the data was collected from informed of the specific purpose you're collecting their data for (the processing)?,1,8,4,Data Processing Requirements: Informing Users,
Did the user that the data was collected from give consent for the data to be processed?,1,9,5,Data Processing Requirements: User Consent,
Is the processing of the data only for the reason explicitly stated to the user that the user consented to?,1,10,5,Data Processing Requirements: User Consent,
Do you have a mechanism to ensure that accuracy/currentness of the personal data that is processed?,1,11,6,Data Processing Requirements: Data Integrity,
Do you have a mechanism to ensure the erasure of personal data found to be inaccurate?,1,12,6,Data Processing Requirements: Data Integrity,
Do you have a retention period for the personal data that you process? ,1,13,7,Data Processing Requirements: Retention Limit,
Is the data kept in a form that permits identification of the user from which the data came?,1,14,7,Data Processing Requirements: Retention Limit,
Is your retention period no longer than is necessary for the purpose of your data processing?,1,15,7,Data Processing Requirements: Retention Limit,
Do you ensure appropriate technological and organizational safeguards and security for processed personal data?,1,16,8,Data Processing Requirements: Information Security,
"If the data you process is based on a user's consent, can you easily show that the user supplied consent?",1,17,9,User Consent Requirements,
"When the user is asked for consent, is the request clear for the purpose it is being asked for and disinguishable from any other purpose?",1,18,9,User Consent Requirements,
Was the request for the user's consent given in an intelligible and easily accessible form using clear and plain language?,1,19,9,User Consent Requirements,
Would you consider the user's consent informed and unambiguous?,1,20,9,User Consent Requirements,
Does the user have the ability to withdraw consent?,1,21,10,User Consent Withdrawal,
Is the mechanism to withdraw consent just as easy as the mechanism to give consent?,1,22,10,User Consent Withdrawal,
Was the user informed that the user has the right to withdraw consent?,1,23,10,User Consent Withdrawal,
Do you process data from children less than 16 years of age?,1,24,11,Consent Related to Children,
"For data processed for children less than 16 years of age, were reasonable efforts taken to ensure relevant parental consent was given?",1,25,11,Consent Related to Children,